strategy_name,alpha,annu_return,beta,cum_return,cum_return_bm,info_ratio,max_drawback_rate,net_profit,sharpe_ratio,total_property
NetWorkingCapital-æ­?12817820.008126384,0.11125112,0.317004751,0.800147883,0.281782001,0.196249237,0.807242339,0.072068697,2817820.008,2.291520302,0.847609533
NetDebt-æ­?12817820.008126384,0.11125112,0.317004751,0.800147883,0.281782001,0.196249237,0.807242339,0.072068697,2817820.008,2.291520302,0.847609533
RetainedEarnings-æ­?13989404.77383589,0.170834724,0.448808037,0.989289332,0.398940477,0.196249237,3.465423612,0.074814688,3989404.774,3.774787574,0.933796053
GrossProfit-æ­?12817820.008126384,0.11125112,0.317004751,0.800147883,0.281782001,0.196249237,0.807242339,0.072068697,2817820.008,2.291520302,0.847609533
WorkingCapital-æ­?12817820.008126384,0.11125112,0.317004751,0.800147883,0.281782001,0.196249237,0.807242339,0.072068697,2817820.008,2.291520302,0.847609533
NetIntExpense-æ­?12817820.008126384,0.11125112,0.317004751,0.800147883,0.281782001,0.196249237,0.807242339,0.072068697,2817820.008,2.291520302,0.847609533
DebtEquityRatio-æ­?13989404.77383589,0.170834724,0.448808037,0.989289332,0.398940477,0.196249237,3.465423612,0.074814688,3989404.774,3.774787574,0.933796053
SuperQuickRatio-æ­?12809975.056650475,0.109452829,0.316122194,0.805920657,0.280997506,0.196249237,0.801061814,0.072208301,2809975.057,2.281713481,0.857423362
NonCurrentAssetsRatio-æ­?12809975.056650475,0.109452829,0.316122194,0.805920657,0.280997506,0.196249237,0.801061814,0.072208301,2809975.057,2.281713481,0.857423362
CurrentRatio-æ­?12809975.056650475,0.109452829,0.316122194,0.805920657,0.280997506,0.196249237,0.801061814,0.072208301,2809975.057,2.281713481,0.857423362
CurrentAssetsRatio-æ­?12809975.056650475,0.109452829,0.316122194,0.805920657,0.280997506,0.196249237,0.801061814,0.072208301,2809975.057,2.281713481,0.857423362
